"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000000001",232.866221974972,0.878674796164155,1.38938061283532,0.63242194978598,0.527111194790045,0.902521275849188
"ENSDARG00000000002",499.659660576052,0.848286125246644,1.25060489513706,0.678300659580959,0.497581080562951,0.891669883417296
"ENSDARG00000000018",467.169534399157,0.999436763514022,0.926668171551514,1.07852712998729,0.280798581193392,0.769396365228397
"ENSDARG00000000019",6959.35826029181,0.048369644234883,1.06197674095574,0.0455468018926213,0.963671471066448,0.996889008305667
"ENSDARG00000000068",108.518335246008,0.118810761796391,1.41126217881994,0.0841875900732616,0.93290728484638,0.992654363797487
"ENSDARG00000000069",439.011364336265,-0.782644927935435,1.22437023699212,-0.639222438025071,0.522678237249144,0.901043367087926
"ENSDARG00000000086",4632.00376258166,1.47542781144824,1.21640910280235,1.21293716731416,0.225153844136701,0.724552887187233
"ENSDARG00000000102",11.6251229892888,-1.47377975610452,2.61429149661824,-0.563739643421917,0.572931333411958,NA
"ENSDARG00000000103",6626.33455935482,1.53042083247772,1.33492881760781,1.14644377459783,0.251611578930359,0.749844900700639
"ENSDARG00000000142",1381.83912409928,1.24636026634896,1.06265404892,1.17287490469326,0.240845974498367,0.739217118665954
"ENSDARG00000000151",155.00890655837,1.09347825369708,1.15890130135364,0.943547351633704,0.345401007101396,0.815594053269523
"ENSDARG00000000161",220.293947022747,-0.0284249604931361,0.993762510391939,-0.0286033737395923,0.977180921331629,0.999042519237008
"ENSDARG00000000175",137.015804277693,0.913685919478517,1.66965984663128,0.547228779156412,0.584221566727351,0.919758196233307
"ENSDARG00000000183",283.782215601697,-0.0928568747029709,1.05888824665893,-0.0876927994960362,0.930120842746308,0.991969264440956
"ENSDARG00000000189",400.862263759349,0.716725045030783,1.14396359699064,0.626527843120387,0.530968780145817,0.903527984059674
"ENSDARG00000000212",413.634069224062,-0.694452759769268,1.42403466389912,-0.487665628776059,0.625786701258965,0.928995944435964
"ENSDARG00000000229",144.547443211513,0.640565185726067,1.03241096262439,0.620455621759137,0.534957862561908,0.904781039542602
"ENSDARG00000000241",1537.98580940996,-0.0817631580798103,1.01814728374245,-0.080305825478677,0.935994025118492,0.993764610105376
"ENSDARG00000000324",1031.51442674436,0.572416759144744,0.999622012106209,0.572633207564786,0.566893070376093,0.913699408910221
"ENSDARG00000000349",3.26600389302135,-3.67593264717202,4.12803152415041,-0.890480759574279,0.373207795140904,NA
"ENSDARG00000000369",26.6229358488148,-0.704678954005789,1.98742445097406,-0.354568926461792,0.722912558613705,0.953989915113211
"ENSDARG00000000370",2454.7038487464,1.39080334439448,1.14672641517082,1.21284669646971,0.225188438226982,0.724552887187233
"ENSDARG00000000380",83.655707526544,-0.962537715668984,1.92376895714908,-0.500339561095429,0.616836002376254,0.927392759917225
"ENSDARG00000000384",58.8898611811251,1.83680026635588,1.25162553826982,1.46753178981549,0.142231447961775,0.621494046821188
"ENSDARG00000000394",1837.08151032678,0.229217150571766,1.13220456866774,0.202452062917822,0.839563330625256,0.976475453873903
"ENSDARG00000000423",4.95267190385976,0.763456838934942,2.80111879223439,0.272554252626305,0.785195881955108,NA
"ENSDARG00000000442",568.635742915924,-0.868140943077017,1.28125668909874,-0.677569881557208,0.498044447968702,0.891669883417296
"ENSDARG00000000472",318.710524921911,0.482583007295509,1.154559015238,0.417980372528665,0.675961467670212,0.942936749533647
"ENSDARG00000000476",131.165554649166,2.52670573096426,1.12921191653939,2.23758330385644,0.0252482413462472,0.311372458662716
"ENSDARG00000000489",333.344762647373,0.116193432883357,1.04744072231595,0.110930795803362,0.911671224785133,0.988785224259631
"ENSDARG00000000503",14856.6391858803,0.868939681615791,1.2824494472835,0.677562521826017,0.498049115751007,0.891669883417296
"ENSDARG00000000516",41.4637511401171,1.48866772790185,1.75061750681651,0.850367211629785,0.395120959542468,0.847847521482949
"ENSDARG00000000529",146.021103126302,-1.17548747452854,1.01442244079678,-1.15877510912047,0.24654786591809,0.745460489032459
"ENSDARG00000000540",127.296766877393,0.107657657473602,1.08371590185039,0.0993412178318901,0.920867353155715,0.9899148993855
"ENSDARG00000000542",234.296766857583,-4.94800247780278,1.71996139165426,-2.87681020156144,0.00401717138926847,0.131553443879117
"ENSDARG00000000551",1011.01680472054,0.687033890773278,1.24931474781593,0.549928584429471,0.582368357600787,0.919758196233307
"ENSDARG00000000563",1340.2709516038,0.916089916857839,1.2469204104361,0.734681948575568,0.462533216500399,0.879308943883715
"ENSDARG00000000567",552.307745659117,-0.282206856341799,1.19636886660098,-0.235886158709212,0.81352100897,0.973586300052894
"ENSDARG00000000568",312.818723274716,-0.291608299095983,1.00726277661865,-0.289505683983382,0.772194430851246,0.964562921517915
"ENSDARG00000000588",136.744075963489,0.39409069547901,1.19248414046953,0.33047877292845,0.741038229236725,0.958975351473117
"ENSDARG00000000606",527.21315295741,-0.00692315117505078,1.06009414622755,-0.0065306946554582,0.994789296602511,0.999788956657215
"ENSDARG00000000631",1405.49531190837,1.81551068877356,1.39997261889621,1.29681871221523,0.194693570711971,0.694214904661259
"ENSDARG00000000651",19.541829284428,-3.3888668074599,2.23677217821644,-1.51507017141196,0.129754634607845,0.601289250423676
"ENSDARG00000000666",229.750807812007,-0.0840000553828478,1.06028087787324,-0.0792243424698358,0.936854182951495,0.993764610105376
"ENSDARG00000000690",149.471137316848,1.88477380837276,1.24924235965655,1.50873350859711,0.131366898719605,0.60369180251579
"ENSDARG00000000729",421.462730168038,2.02250499052642,1.12063688095748,1.80478174946229,0.0711088413979377,0.488098923623894
"ENSDARG00000000730",249.219975743885,-0.696180129265951,1.09532492416946,-0.635592337857039,0.52504216485303,0.901686868327782
"ENSDARG00000000747",27.66921639214,1.75917497041542,1.61665922185865,1.08815447722676,0.276526917440739,0.765974575849594
"ENSDARG00000000760",41.0568299634384,-1.67438301059386,1.51060717884954,-1.10841722059672,0.267681671170593,0.761061746896834
"ENSDARG00000000767",3.5590131305537,-2.7789530398577,4.14704175298455,-0.670104909808959,0.502790915236465,NA
"ENSDARG00000000779",843.560788677139,-1.36223683171242,1.03466438938386,-1.31659777381885,0.187973485421342,0.685484334042203
"ENSDARG00000000796",8219.83025037763,0.0856329806336655,0.960091288844252,0.0891925399476852,0.928928894008696,0.991856117760724
"ENSDARG00000000804",42.0548820595118,0.520510421971869,1.81471914764931,0.286826985126658,0.774244799550815,0.965052958576572
"ENSDARG00000000830",127.325908793712,-1.47152807973574,1.17787462949223,-1.24930789991639,0.211552479601313,0.70848381178494
"ENSDARG00000000837",274.478155641436,0.797444968171324,1.23244217350549,0.647044531025026,0.517603123294504,0.899907074033956
"ENSDARG00000000853",607.683568413916,0.110868868579944,0.912473380697847,0.121503674436128,0.903292104489153,0.986806831126133
"ENSDARG00000000857",391.317985286276,-0.696209953122701,1.0952638173978,-0.635655028554494,0.525001294171026,0.901686868327782
"ENSDARG00000000861",2249.01328333704,-0.218019274081877,0.991960472291902,-0.21978625174262,0.826037627366165,0.975318126639007
"ENSDARG00000000906",91.4346383871972,-11.5029897694422,1.99250041234303,-5.77314298064085,7.78063637259018e-09,2.39085988002409e-05
"ENSDARG00000000935",376.350472375578,-2.3012373358031,1.20438434256303,-1.91071674919476,0.0560409911893402,0.444781642082594
"ENSDARG00000000943",201.691387968524,-0.317921853217115,1.06901197955053,-0.297397839592766,0.766162792869202,0.963025620121321
"ENSDARG00000000966",3176.98745797558,0.694053523545551,0.856327284246073,0.810500303229985,0.417652690835404,0.859227005987525
"ENSDARG00000000972",6518.4035840683,-0.869787089034007,1.23391457396079,-0.704900572040451,0.480872114153662,0.886715379177257
"ENSDARG00000001014",8192.85158384456,-1.1285864490272,1.09336977763978,-1.03220929653226,0.301974080919956,0.785211452663386
"ENSDARG00000001015",192.992073351915,-0.132812988426496,1.35829436519181,-0.0977792383079946,0.922107593801336,0.990020354038061
"ENSDARG00000001057",1324.14286271561,-2.09334529622876,1.04657739914172,-2.00018201993037,0.0454806126096787,0.406134900956091
"ENSDARG00000001127",330.842424625598,4.86707736847146,1.18151196246228,4.11936359774848,3.79920244124291e-05,0.00986561907171767
"ENSDARG00000001129",4900.196147363,-1.54275607407431,1.1761179055655,-1.3117358955032,0.189609260876977,0.687992306902238
"ENSDARG00000001154",192.079577758258,1.25741113416331,1.01227858156211,1.24215918134207,0.214177836676865,0.71174425080977
"ENSDARG00000001162",2231.32912779757,-2.2391430675004,1.33888006080741,-1.67240004018738,0.094445464195401,0.539287111078482
"ENSDARG00000001169",55.7237582652348,-5.43067572142196,2.10238650339986,-2.58310054437649,0.00979167826473481,0.198820674192638
"ENSDARG00000001210",178.266920032324,0.0045005995623593,1.35413729888234,0.00332359175548442,0.997348162334037,0.999788956657215
"ENSDARG00000001220",5690.90117393875,0.460655786642164,0.860692518466445,0.535215279276444,0.592501001983908,0.921956782779192
